id,plant_name,unit_name,state,fuel_type,scada_id,intraday_dc_file_tag,installed_capacity,intraday_sch_file_tag,outage_unit_name,day_ahead_dc_file_tag,aux_consumption
3,BLA I,1,MP,Thermal,WRLDCMP.SCADA1.A0010620,MP_SCA_BLA_POWER_II,45,MP_SCA_BLA_POWER_II,BLA IPP - UNIT 1,MP_SCA_BLA_POWER_II,10.5
4,BLA II,2,MP,Thermal,WRLDCMP.SCADA3.A0107527,MP_SCA_BLA_POWER,45,,BLA IPP - UNIT 2,MP_SCA_BLA_POWER,10.5
5,"JP BINA U1,2","1,2",MP,Thermal,WRLDCMP.SCADA1.A0049504,MP_SCA_JP_BINA_TPP,500,MP_SCA_JP_BINA_TPP,JP BINA - UNIT 1#JP BINA - UNIT 2,MP_SCA_JP_BINA_TPP,8.5
6,"Satpura IV U-10,11","10,11",MP,Thermal,"WRLDCMP.SCADA3.A0100873, 
WRLDCMP.SCADA3.A0100876",MP_SCA_STP_IV,500,MP_SCA_STP_IV,Satpura IV - UNIT 10#Satpura IV - UNIT 11,MP_SCA_STP_IV,8.5
7,Sanjay Gandhi U5,5,MP,Thermal,WRLDCMP.SCADA1.A0010809,MP_SCA_SGT_II,500,MP_SCA_SGT_II,Sanjay Gandhi TPS - UNIT 5,MP_SCA_SGT_II,10
8,"Singhaji U3,4","3,4",MP,Thermal,"WRLDCMP.SCADA3.A0112526,
WRLDCMP.SCADA3.A0112529",MP_SCA_SSTPP_II,1320,MP_SCA_SSTPP_II,Singaji - UNIT 3#Singaji - UNIT 4,MP_SCA_SSTPP_II,5.75
9,Satpura,1,MP,Thermal,xxx,MP_SCA_STP,0,MP_SCA_STP,,MP_SCA_STP,0
10,"Sanjay Gandhi U 1,2,3,4","1,2,3,4",MP,Thermal,"WRLDCMP.SCADA1.A0010797,
WRLDCMP.SCADA1.A0010800,
WRLDCMP.SCADA1.A0010803,
WRLDCMP.SCADA1.A0010806 ",MP_SCA_SGT,840,MP_SCA_SGT,Sanjay Gandhi TPS - UNIT 1#Sanjay Gandhi TPS - UNIT 2#Sanjay Gandhi TPS - UNIT 3#Sanjay Gandhi TPS - UNIT 4,MP_SCA_SGT,10
11,"Singhaji U  1,2 ","1,2",MP,Thermal,"WRLDCMP.SCADA1.A0009812, 
WRLDCMP.SCADA1.A0009815",MP_SCA_SSTPP_I,1200,MP_SCA_SSTPP_I,Singaji - UNIT 1#Singaji - UNIT 2,MP_SCA_SSTPP_I,5.75
12,Amarkantak U5,1,MP,Thermal,WRLDCMP.SCADA1.A0010209,MP_SCA_AMK_III,210,MP_SCA_AMK_III,Amarkantak - UNIT 5,MP_SCA_AMK_III,9
17,Dahanu,1,MH,Thermal,WRLDCMP.SCADA1.A0046848,ADTPS_U1,250,ADTPS_U1,Dahanu  - UNIT 1,ADTPS_U1,8.5
18,Dahanu,2,MH,Thermal,WRLDCMP.SCADA1.A0046849,ADTPS_U2,250,ADTPS_U2,Dahanu  - UNIT 2,ADTPS_U2,8.5
19,BHUSAWAL,3,MH,Thermal,WRLDCMP.SCADA1.A0027512,BHUSAWAL_U3,210,BHUSAWAL_U3,Bhusawal  - UNIT 3,BHUSAWAL_U3,6.86
20,BHUSAWAL,4,MH,Thermal,WRLDCMP.SCADA1.A0044926,BHUSAWAL_U4,500,BHUSAWAL_U4,Bhusawal  - UNIT 4,BHUSAWAL_U4,6.86
21,BHUSAWAL,5,MH,Thermal,WRLDCMP.SCADA1.A0044930,BHUSAWAL_U5,500,BHUSAWAL_U5,Bhusawal  - UNIT 5,BHUSAWAL_U5,6.86
22,CHANDRAPUR,3,MH,Thermal,WRLDCMP.SCADA1.A0046944,CHANDRAPUR_U3,210,CHANDRAPUR_U3,Chandrapur  - UNIT 3,CHANDRAPUR_U3,7.63
23,CHANDRAPUR,4,MH,Thermal,xxx,CHANDRAPUR_U4,210,CHANDRAPUR_U4,Chandrapur  - UNIT 4,CHANDRAPUR_U4,7.63
24,CHANDRAPUR,5,MH,Thermal,xxx,CHANDRAPUR_U5,500,CHANDRAPUR_U5,Chandrapur  - UNIT 5,CHANDRAPUR_U5,7.63
25,CHANDRAPUR,6,MH,Thermal,xxx,CHANDRAPUR_U6,500,CHANDRAPUR_U6,Chandrapur  - UNIT 6,CHANDRAPUR_U6,7.63
26,CHANDRAPUR,7,MH,Thermal,xxx,CHANDRAPUR_U7,500,CHANDRAPUR_U7,Chandrapur  - UNIT 7,CHANDRAPUR_U7,7.63
27,CHANDRAPUR,8,MH,Thermal,xxx,CHANDRAPUR_U8,500,CHANDRAPUR_U8,Chandrapur  - UNIT 8,CHANDRAPUR_U8,7.63
28,CHANDRAPUR,9,MH,Thermal,xxx,CHANDRAPUR_U9,500,CHANDRAPUR_U9,Chandrapur  - UNIT 9,CHANDRAPUR_U9,7.63
29,KHAPERKHEDA,1,MH,Thermal,WRLDCMP.SCADA1.A0046969,KHAPERKHEDA_U1,210,KHAPERKHEDA_U1,Khaparkheda  - UNIT 1,KHAPERKHEDA_U1,8.32
30,KHAPERKHEDA,2,MH,Thermal,xxx,KHAPERKHEDA_U2,210,KHAPERKHEDA_U2,Khaparkheda  - UNIT 2,KHAPERKHEDA_U2,8.32
31,KHAPERKHEDA,3,MH,Thermal,xxx,KHAPERKHEDA_U3,210,KHAPERKHEDA_U3,Khaparkheda  - UNIT 3,KHAPERKHEDA_U3,8.32
32,KHAPERKHEDA,4,MH,Thermal,xxx,KHAPERKHEDA_U4,210,KHAPERKHEDA_U4,Khaparkheda  - UNIT 4,KHAPERKHEDA_U4,8.32
33,KHAPERKHEDA,5,MH,Thermal,xxx,KHAPERKHEDA_U5,500,KHAPERKHEDA_U5,Khaparkheda  - UNIT 5,KHAPERKHEDA_U5,8.32
34,KORADI,10,MH,Thermal,WRLDCMP.SCADA3.A0103157,KORADI_U10,660,KORADI_U10,Koradi - UNIT 10,KORADI_U10,5.99
35,KORADI,6,MH,Thermal,WRLDCMP.SCADA1.A0031032,KORADI_U6,210,KORADI_U6,Koradi  - UNIT 6,KORADI_U6,5.99
36,KORADI,7,MH,Thermal,xxx,KORADI_U7,0,KORADI_U7,Koradi  - UNIT 7,KORADI_U7,5.99
37,KORADI,8,MH,Thermal,WRLDCMP.SCADA1.A0045970,KORADI_U8,660,KORADI_U8,Koradi - UNIT 8,KORADI_U8,5.99
38,KORADI,9,MH,Thermal,WRLDCMP.SCADA1.A0049539,KORADI_U9,660,KORADI_U9,Koradi - UNIT 9,KORADI_U9,5.99
39,NASHIK,3,MH,Thermal,WRLDCMP.SCADA1.A0032742,NASHIK_U3,210,NASHIK_U3,NASIK - UNIT 3,NASHIK_U3,11
40,NASHIK,4,MH,Thermal,WRLDCMP.SCADA1.A0032746,NASHIK_U4,210,NASHIK_U4,NASIK - UNIT 4,NASHIK_U4,11
41,NASHIK,5,MH,Thermal,WRLDCMP.SCADA1.A0032750,NASHIK_U5,210,NASHIK_U5,NASIK - UNIT 5,NASHIK_U5,11
42,PARAS,3,MH,Thermal,WRLDCMP.SCADA1.A0033702,PARAS_U3,250,PARAS_U3,Paras  - UNIT 3,PARAS_U3,8.5
43,PARAS,4,MH,Thermal,WRLDCMP.SCADA1.A0046861,PARAS_U4,250,PARAS_U4,Paras  - UNIT 4,PARAS_U4,8.5
44,PARLI,6,MH,Thermal,WRLDCMP.SCADA1.A0033449,PARLI_U6,250,PARLI_U6,PARLI  - UNIT 6,PARLI_U6,8.5
45,PARLI,7,MH,Thermal,WRLDCMP.SCADA1.A0033452,PARLI_U7,250,PARLI_U7,PARLI  - UNIT 7,PARLI_U7,8.5
46,PARLI,8,MH,Thermal,WRLDCMP.SCADA3.A0118806,PARLI_U8,250,PARLI_U8,PARLI  - UNIT 8,PARLI_U8,8.5
47,TATA,5,MH,Thermal,WRLDCMP.SCADA1.A0046870,TPCL_U5,500,TPCL_U5,TROMBAY  - UNIT 5,TPCL_U5,6.83
48,TATA,8,MH,Thermal,WRLDCMP.SCADA1.A0046865,TPCL_U8,250,TPCL_U8,TROMBAY - UNIT 8,TPCL_U8,6.83
49,APL Tirora,1,MH,Thermal,WRLDCMP.SCADA1.A0035990,APML_U1,660,APML_U1,APML Tiroda  - UNIT 1,APML_U1,6.5
50,APL Tirora,2,MH,Thermal,xxx,APML_U2,660,APML_U2,APML Tiroda  - UNIT 2,APML_U2,6.5
51,APL Tirora,3,MH,Thermal,xxx,APML_U3,660,APML_U3,APML Tiroda  - UNIT 3,APML_U3,6.5
52,APL Tirora,4,MH,Thermal,xxx,APML_U4,660,APML_U4,APML Tiroda  - UNIT 4,APML_U4,6.5
53,APL Tirora,5,MH,Thermal,xxx,APML_U5,660,APML_U5,APML Tiroda  - UNIT 5,APML_U5,6.5
54,IEPL,1,MH,Thermal,WRLDCMP.SCADA1.A0046103,IEPL,270,IEPL,IEPL  - UNIT 1#IEPL  - UNIT 2,IEPL,9
