PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,SCADA_ID
3,ACBIL,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,ACBIL,493,493,ACBIL,
5,GMR WARORA,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,GMR WARORA (GWEL),600,600,GMR WARORA,
10,BALCO,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,BALCO,1200,1200,BALCO,
12,DB Power,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,DB Power,1200,1200,DBPL,
15,Adani Raipur,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,REL,1370,1370,APL_Raipur TPP,
20,HASDEO BANGO,HYDRO,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,120,120,,
21,JPL Stg-I,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),1000,1000,JPL,
22,JPL Stg-II,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),2400,2400,JPL-2,
23,KORBA EAST EXT(DSPM),COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,500,500,DSPM,"WRLDCMP.SCADA1.A0022572,WRLDCMP.SCADA1.A0022575"
26,KORBA(W) CSPGCL,COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1340,1340,Korba West,"WRLDCMP.SCADA1.A0023207,WRLDCMP.SCADA1.A0023210,WRLDCMP.SCADA1.A0023213,WRLDCMP.SCADA1.A0023216"
31,KSK Mahanadi,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,KSK Mahanadi,1800,1800,KSK_MAHANADI,
34,KSTPS1&2,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,2100,2100,KSTPS I&II,
74,APL Raigarh,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,"APL-Adani,KWPCL",600,600,REGL,
75,Lanco,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,LANCO,600,600,LAMKPL,
76,MCCPL,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,ACBIL,300,300,MCCPL,
77,Marwa TPS,COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1000,1000,Marwa,"WRLDCMP.SCADA1.A0045201,WRLDCMP.SCADA1.A0045204"
78,NSPCL,COAL,WEST REGION,CHHATTISGARH,ISGS,NSPCL,500,500,NSPCL,
79,RKM Power,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,RKM,1440,1440,RKM_POWER,
83,SIPAT I,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,1980,1980,SIPAT I,
84,SKS Power,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,SKS,600,600,SKS Raigarh,
85,Sipat II,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,1000,1000,SIPAT II,
86,TRN Energy,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,TRN,600,600,TRN_ENERGY,
142,DCPP,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),270,270,JSPL_DCPP,
187,ARINSUN SOLAR,SOLAR,WEST REGION,CHHATTISGARH,RENEWABLE,RUMS,250,250,,
431,Lara,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,1600,1600,LARA-I,
469,KWB MINI MICRO,HYDRO,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1.7,1.7,,
480,Sherisha Raipur,SOLAR,WEST REGION,CHHATTISGARH,RENEWABLE,Sherisha RTSSPVFPL,50,50,,
147,GEPL,COAL,WEST REGION,GOA,STATE_OWNED,GOA (GED),24,24,,
148,GSPL,WIND,WEST REGION,GOA,STATE_OWNED,GOA (GED),24,24,,
88,ALTPS,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,250,250,"Akrimota U1,2",WRLDCMP.SCADA3.A0109687
89,APL Mundra,COAL,WEST REGION,GUJARAT,STATE_OWNED,APL-Adani,4620,4620,"APL Stage 1 U 1,2,3,4$APL Stage 2 U5,6$APL Stage 3 U 7, 8$APL Stage  3 U 9","WRLDCMP.SCADA1.A0018014,WRLDCMP.SCADA1.A0044469,WRLDCMP.SCADA1.A0044479,
WRLDCMP.SCADA1.A0044471,
WRLDCMP.SCADA1.A0018017,
WRLDCMP.SCADA1.A0044465,
WRLDCMP.SCADA1.A0044467,WRLDCMP.SCADA1.A0044473,
WRLDCMP.SCADA1.A0044476"
103,BLTPS,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,500,500,BECL,WRLDCMP.SCADA3.A0100178
104,TPCL,COAL,WEST REGION,GUJARAT,ISGS,CGPL,4150,4150,TPCL_Mundra,
105,DGBP,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,594,594,,
106,VADINAR,COAL,WEST REGION,GUJARAT,STATE_OWNED,EPGL-Gujarat,1200,1200,"Essar Vadinar U 1,2",WRLDCMP.SCADA1.A0040046
107,GIPCL STG,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,145,145,,
108,GPEC,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,655,655,,
109,GPPC,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,702,702,,
110,GSEC,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,507,507,,
111,Gandhar,LNG,WEST REGION,GUJARAT,ISGS,NTPC,657.4,657.4,"GANDHAR-APM, GANDHAR-ComGas, GANDHAR-NAPM, GANDHAR-RLNG",
114,Hazira(Extn),COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,351,351,,
115,KAPS,NUCLEAR,WEST REGION,GUJARAT,ISGS,NPCIL,440,440,KAPS,
116,KLTPS,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,150,150,KLTPS,"WRLDCMP.SCADA1.A0013764,WRLDCMP.SCADA1.A0013767"
117,Kadana,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,240,240,,
120,SLPP,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,500,500,SLPP I$SLPP II,"WRLDCMP.SCADA1.A0017140, 
WRLDCMP.SCADA1.A0017143,WRLDCMP.SCADA1.A0017134, 
WRLDCMP.SCADA1.A0017137"
122,SSP,HYDRO,WEST REGION,GUJARAT,ISGS,SSP (SSNL),1450,1450,SSP,
123,STPS,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,500,500,Sikka TPS,WRLDCMP.SCADA3.A0110621
124,SUGEN 1,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,1147.5,1147.5,,
125,UKAI,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,1110,1110,"Ukai TPS U6$Ukai TPS U3, U5$Ukai TPS U4","WRLDCMP.SCADA1.A0017403,WRLDCMP.SCADA1.A0017394,
WRLDCMP.SCADA1.A0017400,WRLDCMP.SCADA1.A0017397"
126,UKAI HYDRO,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,300,300,,
127,UNOSUGEN,LNG,WEST REGION,GUJARAT,STATE_OWNED,Torrent Power (TPL),382.5,382.5,,
128,UTRAN STG II,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,375,375,,
