PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,,
3,ACBIL,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,ACBIL,553,553,ACBIL,,
15,Adani Raipur,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,REL,1370,1370,APL_Raipur TPP,,
10,BALCO,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,BALCO,1200,1200,BALCO,,
12,DB Power,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,DB Power,1200,1200,DBPL,,
190,GADARWARA,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1600,1600,GADARWARA-I,,
5,GMR WARORA,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,GMR WARORA (GWEL),600,600,GMR WARORA,,
73,Jhabua Power,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Jhabua Power,1200,1200,JHABUA_IPP,,
21,JPL Stg-I,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),1000,1000,JPL,,
22,JPL Stg-II,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),2400,2400,JPL-2,,
65,JP Nigrie,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Jaypee Nigire (JNSTPP),1320,1320,JPNIGRIE_JNSTPP,,
142,DCPP,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),540,540,JSPL_DCPP,,
115,KAPS,NUCLEAR,WEST REGION,GUJARAT,ISGS,NPCIL,440,440,KAPS,,
445,KAPS3&4,NUCLEAR,WEST REGION,GUJARAT,ISGS,NPCIL,1400,700,KAPS 3&4,,
440,Khargone,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1320,1320,KHARGONE-I,,
31,KSK Mahanadi,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,KSK Mahanadi,2400,2400,KSK_MAHANADI,,
34,KSTPS1&2,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,2100,2100,KSTPS I&II,,
163,KSTPS3,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,500,500,KSTPS7,,
75,Lanco,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,LANCO,600,600,LAMKPL,,
431,Lara,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,1600,1600,LARA-I,,
13,MAHAN ENERGEN,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Essar Mahan (EPMPL),1200,1200,MAHAN ENERGEN,,
81,MB Power,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Madhya Pradesh,1200,1200,MBMP,,
159,Mouda I,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,1000,1000,MOUDA,,
160,Mouda II,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,1320,1320,MOUDA_II,,
78,NSPCL,COAL,WEST REGION,CHHATTISGARH,ISGS,NSPCL,500,500,NSPCL,,
74,REGL,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,"APL-Adani,KWPCL",600,600,REGL,,
79,RKM Power,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,RKM,1440,1440,RKM_POWER,,
95,Sasan,COAL,WEST REGION,MADHYA PRADESH,ISGS,SASAN_UMPP (SPL),3960,3960,SASAN,,
83,SIPAT I,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,1980,1980,SIPAT I,,
